,Unnamed: 0,dataset_id,transformer,clf,split0_test_adversarial_robustness,split1_test_adversarial_robustness,split2_test_adversarial_robustness,mean_test_adversarial_robustness
0,0,40996,AE,LogisticRegression,0.4869311794884736,0.5988238648220722,0.6241131664322573,0.5699560702476011
1,1,40996,AE,DecisionTreeClassifier,0.28706932371872473,0.38419879728420575,0.3576888218899524,0.3429856476309609
2,2,40996,AE,GaussianNB,0.7214985330755258,0.7544876281852404,0.8267267617855235,0.7675709743487632
3,3,40996,AE,LinearSVC,0.5726368590585276,0.5704391869158699,0.6488416408096181,0.5973058955946718
4,4,40996,None,LogisticRegression,0.5262958801158297,0.5139511284189416,0.4856233396517623,0.5086234493955112
5,5,40996,None,DecisionTreeClassifier,0.03564402826838595,0.02691921153459492,0.034373181735776435,0.032312140512919106
6,6,40996,None,GaussianNB,0.011842713400112946,0.003017166423922305,0.0023220566696636755,0.005727312164566309
7,7,40996,None,LinearSVC,0.3551252652116832,0.3865289433182315,0.2957930620704619,0.34581575686679217
8,8,40996,DAE,LogisticRegression,0.7704238539852638,0.7853161093662258,0.7258921963862431,0.7605440532459109
9,9,40996,DAE,DecisionTreeClassifier,0.4319526217029511,0.490916287913653,0.4413043922478045,0.4547244339548029
10,10,40996,DAE,GaussianNB,1.1613712511780752,1.1917959903491793,1.0195655570815354,1.12424426620293
11,11,40996,DAE,LinearSVC,0.7922580972591194,0.6507716195894054,0.6972416825063524,0.7134237997849592
12,12,40996,SAE,LogisticRegression,0.7003546561532211,0.6920061052554232,0.6991857059720492,0.6971821557935645
13,13,40996,SAE,DecisionTreeClassifier,0.34240861298009073,0.4133757912210464,0.3037432744848699,0.3531758928953357
14,14,40996,SAE,GaussianNB,0.7877248280522786,0.6613952767443585,0.7047560633871932,0.7179587227279435
15,15,40996,SAE,LinearSVC,0.6478694841634095,0.7068708001473846,0.5613643895770128,0.6387015579626023
16,16,40668,AE,LogisticRegression,0.4357916027916445,0.4560404392452481,0.37662817275443344,0.4228200715971087
17,17,40668,AE,DecisionTreeClassifier,0.3009963033437443,0.17649593837690633,0.17908809061438005,0.21886011077834355
18,18,40668,AE,GaussianNB,0.5114288224832482,0.40557049061822703,0.05719637430207637,0.32473189580118383
