,Unnamed: 0,dataset_id,clf,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,hidden_dims,type
0,0,40996,"LogisticRegression(max_iter=500, penalty='none')",0.8679180594840148,0.8703552907898684,0.8700981442592037,0.8694571648443623,0.35,CVAE
88,88,40996,"LogisticRegression(max_iter=500, penalty='none')",0.8806891231679095,0.8825697509964429,0.8841983456906527,0.8824857399516683,0.35,CDAE
176,176,40996,"LogisticRegression(max_iter=500, penalty='none')",0.8714751007114082,0.8697981399734281,0.8723267475249646,0.8711999960699336,0.35,CAE
264,264,40996,"LogisticRegression(max_iter=500, penalty='none')",0.869632296220108,0.8653837911970171,0.8693267046672095,0.8681142640281115,0.35,CSAE
18,18,44,"LogisticRegression(max_iter=500, penalty='none')",0.9080834419817472,0.9126466753585396,0.9158512720156556,0.9121937964519808,0.35000000000000003,AE
19,19,44,"LogisticRegression(max_iter=500, penalty='none')",0.9080834419817472,0.9191655801825294,0.9054142204827136,0.9108877475489968,0.35000000000000003,DAE
20,20,44,"LogisticRegression(max_iter=500, penalty='none')",0.9113428943937418,0.9152542372881356,0.9080234833659492,0.911540205015942,0.35000000000000003,SAE
138,138,1492,"LogisticRegression(max_iter=500, penalty='none')",0.5955056179775281,0.6153846153846154,0.5628517823639775,0.5912473385753736,0.35000000000000003,AE
139,139,1492,"LogisticRegression(max_iter=500, penalty='none')",0.5805243445692884,0.5778611632270169,0.5928705440900562,0.5837520172954539,0.35000000000000003,DAE
140,140,1492,"LogisticRegression(max_iter=500, penalty='none')",0.6048689138576779,0.5816135084427767,0.5759849906191371,0.5874891376398639,0.35000000000000003,SAE
258,258,40668,"LogisticRegression(max_iter=500, penalty='none')",0.7082019627869799,0.7016297348905369,0.7155291087526089,0.7084536021433752,0.35000000000000003,AE
259,259,40668,"LogisticRegression(max_iter=500, penalty='none')",0.7000310848616723,0.7120653670234025,0.7139748656689906,0.7086904391846884,0.35000000000000003,DAE
260,260,40668,"LogisticRegression(max_iter=500, penalty='none')",0.7153070740263777,0.6967005639682047,0.6951463208845864,0.7023846529597231,0.35000000000000003,SAE
378,378,40996,"LogisticRegression(max_iter=500, penalty='none')",0.8734464729579154,0.8747696395662795,0.8769553850769297,0.8750571658670415,0.35000000000000003,AE
379,379,40996,"LogisticRegression(max_iter=500, penalty='none')",0.8755035570412274,0.8819268846697809,0.8824411777311104,0.8799572064807063,0.35000000000000003,DAE
380,380,40996,"LogisticRegression(max_iter=500, penalty='none')",0.8734036170395132,0.8721981742596323,0.879912570179574,0.87517145382624,0.35000000000000003,SAE
486,6,40996,"LogisticRegression(max_iter=500, penalty='none')",0.8631610525413559,0.8670552436463378,0.869626708952985,0.8666143350468929,0.35000000000000003,VAE
526,46,40668,"LogisticRegression(max_iter=500, penalty='none')",0.6973666681468982,0.6975442959278831,0.6874195124117412,0.6941101588288409,0.35000000000000003,VAE
566,86,1492,"LogisticRegression(max_iter=500, penalty='none')",0.4288389513108614,0.4784240150093809,0.4071294559099437,0.4381308074100621,0.35000000000000003,VAE
606,126,44,"LogisticRegression(max_iter=500, penalty='none')",0.8226857887874837,0.8839634941329857,0.8519243313763861,0.8528578714322852,0.35000000000000003,VAE
