dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,latent_activation,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
44,39.40814391771952,2.2411789341822037,0.013318220774332682,0.010555494996236519,sigmoid,sae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'sae'}",0.9126466753585397,0.9152542372881356,0.9099804305283757,0.9126271143916836,0.0021530670230147583,8
44,34.81969134012858,1.9774914057242385,0.006613731384277344,0.0011838630951571411,sigmoid,ae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'ae'}",0.9224250325945241,0.9139504563233377,0.9230267449445532,0.919800744620805,0.004144065581097579,3
44,19.88549566268921,2.598273746789121,0.0061918894449869795,0.0010461449786040688,sigmoid,dae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'dae'}",0.9132985658409387,0.9113428943937418,0.9191128506196999,0.9145847702847935,0.0032998784161309266,6
44,12.26023530960083,3.235153935658403,0.00656898816426595,0.0025813984358568185,tanh,sae,"{'ae__latent_activation': 'tanh', 'ae__type': 'sae'}",0.9022164276401564,0.8983050847457628,0.9151989562948467,0.905240156226922,0.00722070748629959,12
44,28.047922134399414,7.193882321571056,0.006182193756103516,0.00293677609386345,tanh,ae,"{'ae__latent_activation': 'tanh', 'ae__type': 'ae'}",0.9230769230769231,0.9126466753585397,0.9249836921069797,0.9202357635141475,0.005422461698569865,1
44,19.877609650293987,1.9653028668477832,0.00423129399617513,0.00047722722364779065,tanh,dae,"{'ae__latent_activation': 'tanh', 'ae__type': 'dae'}",0.9106910039113429,0.9217731421121251,0.9041095890410958,0.9121912450215213,0.007288727338146625,9
44,12.302160580952963,3.9273643783023315,0.007456779479980469,0.0037401805303801474,selu,sae,"{'ae__latent_activation': 'selu', 'ae__type': 'sae'}",0.9185136897001304,0.9048239895697523,0.9047619047619048,0.9093665280105957,0.006468069720388397,11
44,26.321147044499714,4.68768395937527,0.008083343505859375,0.0017295601861167687,selu,ae,"{'ae__latent_activation': 'selu', 'ae__type': 'ae'}",0.9224250325945241,0.9061277705345502,0.9171559034572733,0.9152362355287825,0.006790386900102406,5
44,23.354939222335815,5.24437341719968,0.006912390391031901,0.0012995814733987527,selu,dae,"{'ae__latent_activation': 'selu', 'ae__type': 'dae'}",0.9132985658409387,0.9198174706649282,0.9197651663405088,0.9176270676154585,0.003060787441667522,4
44,30.914053201675415,2.479137520261396,0.006636142730712891,0.0008764731556045897,relu,sae,"{'ae__latent_activation': 'relu', 'ae__type': 'sae'}",0.9302477183833116,0.9139504563233377,0.9165035877364645,0.9202339208143712,0.00715712820978544,2
44,26.790990670522053,2.7297203898799576,0.006668488184611003,0.0036169603757631313,relu,ae,"{'ae__latent_activation': 'relu', 'ae__type': 'ae'}",0.9132985658409387,0.910039113428944,0.9099804305283757,0.9111060365994194,0.0015505373857456646,10
44,19.987314621607464,4.615827281665291,0.00563661257425944,0.00143710010339639,relu,dae,"{'ae__latent_activation': 'relu', 'ae__type': 'dae'}",0.9041720990873533,0.9080834419817471,0.9269406392694064,0.9130653934461689,0.009940371750286236,7
1492,10.039406935373941,3.073346557664698,0.005211273829142253,0.0016319150408940764,sigmoid,sae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'sae'}",0.6367041198501873,0.6454033771106942,0.5722326454033771,0.6181133807880862,0.03263638745125232,2
1492,11.465227762858072,0.6702772580689268,0.003992398579915364,0.0012384923116951676,sigmoid,ae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'ae'}",0.6441947565543071,0.626641651031895,0.6041275797373359,0.6249879957745127,0.016399097461004996,1
1492,6.526529153188069,1.1537123879802493,0.003516515096028646,0.0004354983783818354,sigmoid,dae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'dae'}",0.6554307116104869,0.6060037523452158,0.5928705440900562,0.6181016693485862,0.026934653477276197,3
1492,5.9097615877787275,1.4784259615697284,0.006522973378499349,0.001748196643886293,tanh,sae,"{'ae__latent_activation': 'tanh', 'ae__type': 'sae'}",0.5955056179775281,0.6191369606003753,0.5347091932457786,0.5831172572745607,0.035563235565216275,8
1492,7.24010443687439,0.4479791199488146,0.002870798110961914,7.145029981393879e-05,tanh,ae,"{'ae__latent_activation': 'tanh', 'ae__type': 'ae'}",0.6161048689138576,0.5966228893058161,0.5816135084427767,0.5981137555541501,0.014120446131156223,7
1492,5.44031286239624,0.3104284826442983,0.003550370534261068,0.00033437451828020783,tanh,dae,"{'ae__latent_activation': 'tanh', 'ae__type': 'dae'}",0.6385767790262172,0.5966228893058161,0.6097560975609756,0.6149852552976697,0.0175221818208486,4
1492,4.512885729471843,0.5564190027150163,0.004815896352132161,0.0012746423813455783,selu,sae,"{'ae__latent_activation': 'selu', 'ae__type': 'sae'}",0.5786516853932584,0.5778611632270169,0.5440900562851783,0.5668676349684845,0.016109413383267254,9
1492,9.125555117925009,2.884365067379549,0.0035134156545003257,0.0007761813014672212,selu,ae,"{'ae__latent_activation': 'selu', 'ae__type': 'ae'}",0.6123595505617978,0.6191369606003753,0.5853658536585366,0.6056207882735699,0.014587211383085047,5
1492,5.935260693232219,0.3065408465021719,0.004868984222412109,0.00011890196923231278,selu,dae,"{'ae__latent_activation': 'selu', 'ae__type': 'dae'}",0.6292134831460674,0.5891181988742964,0.5928705440900562,0.60373407537014,0.018081670076139738,6
1492,6.914078712463379,1.442435544988033,0.004771868387858073,8.190741424482716e-05,relu,sae,"{'ae__latent_activation': 'relu', 'ae__type': 'sae'}",0.5561797752808989,0.5534709193245778,0.5534709193245778,0.5543738713100183,0.0012769669439814744,11
