,clf,split0_ae_fit_time,split0_clf_fit_time,split0_test_accuracy,split0_score_time,split1_ae_fit_time,split1_clf_fit_time,split1_test_accuracy,split1_score_time,split2_ae_fit_time,split2_clf_fit_time,split2_test_accuracy,split2_score_time,dataset_id,hidden_dims,mean_ae_fit_time,mean_clf_fit_time,mean_score_time,mean_test_accuracy
0,SVC,38.947663068771355,0.025832653045654297,0.8129074315514994,0.009353876113891602,35.90541529655456,0.025355100631713867,0.7640156453715776,0.009529590606689451,28.76756000518799,0.027768373489379883,0.7782126549249837,0.009573936462402344,44,0.25,34.540212790171296,0.026318709055582683,0.009485801060994468,0.7850452439493537
1,LinearSVC,38.947663068771355,0.00943279266357422,0.9119947848761408,0.009548187255859377,35.90541529655456,0.010039806365966795,0.9093872229465451,0.0033364295959472656,28.76756000518799,0.010056734085083008,0.9047619047619048,0.001148223876953125,44,0.25,34.540212790171296,0.009843111038208008,0.004677613576253255,0.9087146375281968
2,LogisticRegression,38.947663068771355,0.14200854301452634,0.908735332464146,0.0007085800170898438,35.90541529655456,0.03622889518737793,0.9041720990873532,0.0004506111145019531,28.76756000518799,0.022940635681152344,0.9015003261578604,0.0005431175231933594,44,0.25,34.540212790171296,0.06705935796101888,0.0005674362182617188,0.90480258590312
3,GaussianNB,38.947663068771355,0.002201080322265625,0.8428943937418514,0.0012259483337402346,35.90541529655456,0.0011241436004638672,0.8324641460234681,0.0006363391876220702,28.76756000518799,0.001163005828857422,0.8799739073711677,0.0006732940673828125,44,0.25,34.540212790171296,0.0014960765838623047,0.0008451938629150392,0.8517774823788291
4,DecisionTreeClassifier,38.947663068771355,0.06464767456054688,0.8917861799217731,0.0008101463317871094,35.90541529655456,0.03703474998474121,0.8930899608865711,0.0006129741668701173,28.76756000518799,0.03832745552062988,0.8923679060665362,0.0004813671112060547,44,0.25,34.540212790171296,0.046669960021972656,0.0006348292032877604,0.8924146822916268
5,KNeighborsClassifier,38.947663068771355,0.00666046142578125,0.9054758800521512,0.09682989120483397,35.90541529655456,0.005174160003662109,0.9067796610169492,0.11871933937072755,28.76756000518799,0.004065990447998047,0.9151989562948468,0.08072924613952638,44,0.25,34.540212790171296,0.005300203959147136,0.09875949223836264,0.9091514991213158
6,SVC,32.596830129623406,0.03648543357849121,0.7842242503259452,0.01430368423461914,28.99755573272705,0.03785133361816406,0.7796610169491526,0.01363205909729004,37.31939172744751,0.04029369354248047,0.669928245270711,0.01439023017883301,44,0.5,32.97125919659933,0.03821015357971192,0.014108657836914062,0.7446045041819364
7,LinearSVC,32.596830129623406,0.01566290855407715,0.9230769230769232,0.0013031959533691404,28.99755573272705,0.016456127166748047,0.9172099087353324,0.006638526916503906,37.31939172744751,0.017568349838256836,0.9093281148075668,0.009209394454956056,44,0.5,32.97125919659933,0.016562461853027344,0.005717039108276367,0.9165383155399408
8,LogisticRegression,32.596830129623406,0.14953064918518064,0.92503259452412,0.007532835006713867,28.99755573272705,0.4256308078765869,0.9165580182529336,0.003393888473510742,37.31939172744751,0.1943051815032959,0.9132420091324199,0.007272005081176758,44,0.5,32.97125919659933,0.2564888795216878,0.006066242853800456,0.9182775406364913
9,GaussianNB,32.596830129623406,0.001756906509399414,0.8318122555410691,0.0017900466918945312,28.99755573272705,0.002544641494750977,0.8311603650586702,0.00153350830078125,37.31939172744751,0.002388477325439453,0.7938682322243966,0.0014667510986328125,44,0.5,32.97125919659933,0.0022300084431966147,0.0015967686971028645,0.8189469509413786
10,DecisionTreeClassifier,32.596830129623406,0.08961749076843263,0.8956975228161669,0.0005905628204345702,28.99755573272705,0.11472892761230467,0.8891786179921773,0.0004742145538330078,37.31939172744751,0.1107308864593506,0.8943248532289628,0.00044918060302734375,44,0.5,32.97125919659933,0.1050257682800293,0.0005046526590983074,0.8930669980124356
11,KNeighborsClassifier,32.596830129623406,0.008649349212646484,0.9172099087353324,0.20503568649291992,28.99755573272705,0.006532669067382813,0.9132985658409388,0.15028691291809082,37.31939172744751,0.00620722770690918,0.9197651663405088,0.1625220775604248,44,0.5,32.97125919659933,0.007129748662312825,0.17261489232381186,0.9167578803055934
12,SVC,25.605811595916748,0.05264878273010254,0.7835723598435462,0.01943683624267578,24.805963039398193,0.054193973541259766,0.7222946544980443,0.02774643898010254,30.48866319656372,0.05055403709411621,0.7612524461839529,0.01867246627807617,44,0.75,26.96681261062622,0.052465597788492836,0.021951913833618164,0.7557064868418478
13,LinearSVC,25.605811595916748,0.023053407669067383,0.9354628422425032,0.0012426376342773438,24.805963039398193,0.04746294021606445,0.9172099087353324,0.006046772003173828,30.48866319656372,0.022654056549072262,0.9288975864318331,0.0012407302856445312,44,0.75,26.96681261062622,0.03105680147806804,0.0028433799743652344,0.9271901124698896
14,LogisticRegression,25.605811595916748,0.6818971633911133,0.9295958279009128,0.006657600402832031,24.805963039398193,0.3445310592651367,0.9204693611473272,0.0039882659912109375,30.48866319656372,0.10834550857543944,0.9262883235485976,0.0012462139129638672,44,0.75,26.96681261062622,0.3782579104105632,0.003964026769002278,0.9254511708656123
15,GaussianNB,25.605811595916748,0.003069162368774414,0.8631029986962192,0.0017855167388916016,24.805963039398193,0.0023670196533203125,0.8194263363754889,0.005261421203613281,30.48866319656372,0.002897024154663086,0.8108284409654273,0.0017268657684326172,44,0.75,26.96681261062622,0.002777735392252604,0.0029246012369791665,0.831119258679045
